Name,Store_Location,Product_Category,Product_ID,Gender,Total_Sales_Generated,Discount_Applied
Hieronymus Voice,London,Industrial,859748485-E,M,$583.61,$24.35
Nichole Redparth,London,Health,676553292-E,F,$775.33,$9.85
Lorilyn Andreia,London,Baby,775933933-E,M,$773.79,$24.79
Dorothee Hyland,London,Electronics,677910249-0,F,$982.26,$21.93
Jaime Ovize,London,Kids,239225870-8,F,$749.43,$14.12
Finlay Houseman,London,Outdoors,307078701-0,M,$488.77,$20.16
Paddy Grasner,London,Toys,681193148-5,F,$995.77,$20.86
Vinni Gilley,London,Baby,743898899-6,M,$460.43,$11.97
Hart Volonte,London,Movies,540462241-5,F,$815.83,$16.31
Baudoin Rubertis,London,Kids,671977233-E,F,$813.14,$11.28
Margette Dummer,London,Garden,733454473-0,F,$895.66,$24.21
Sela Chinn,London,Books,302602780-4,M,$661.84,$13.96
Cacilie Cluelow,London,Garden,125599683-8,F,$853.76,$16.67
Maribelle Hartnup,London,Movies,623066521-2,M,$568.04,$22.12
Lonnard Dungay,London,Books,975230203-E,M,$738.08,$23.41
Josepha Dobbing,London,Garden,284014203-1,F,$534.56,$8.62
Gonzales Drew,London,Jewelry,023341461-4,M,$810.22,$9.69
Theo Keme,London,Health,970689530-2,M,$489.30,$20.60
Lidia Wemm,London,Baby,843842121-0,F,$812.66,$22.46
Gayle Goodbarne,London,Music,199845926-8,M,$462.88,$23.86
Beulah Yakob,London,Home,117068564-1,M,$458.85,$23.45
Ericka Saffran,London,Home,764682544-1,M,$796.43,$15.17
Fawne Melanaphy,London,Automotive,091258009-7,F,$665.28,$14.05
Jeramie Betke,London,Automotive,242890604-6,F,$409.20,$18.37
Fowler Brummell,London,Industrial,933183627-9,M,$407.77,$18.56
Carver D'Ruel,London,Music,949212475-0,M,$703.02,$14.20
Obadias Shewery,London,Baby,089401666-0,M,$518.18,$12.67
Annissa Frigout,London,Kids,633307968-5,F,$732.06,$22.72
Margaretta O'Hern,London,Industrial,270675591-1,M,$664.13,$13.86
Ina Edmonds,London,Jewelry,054344612-E,F,$443.63,$22.86
Hanna Symes,London,Sports,241551681-E,F,$899.99,$14.86
Bernarr Dumblton,London,Clothing,812775957-0,M,$840.50,$10.88
Padget Hargreave,London,Industrial,547377913-1,F,$907.33,$18.14
Daven Gayle,London,Shoes,594588449-9,F,$452.10,$22.38
Evonne Edkins,London,Jewelry,410375964-E,M,$835.09,$23.24
Emelina Absolom,London,Music,975306755-0,F,$797.04,$15.28
Jonas Filintsev,London,Computers,751987293-9,F,$567.54,$11.04
Ingram Bagby,London,Computers,317836514-1,F,$538.00,$11.96
Molly Tuckwell,London,Industrial,386599130-0,F,$865.07,$11.51
Christean Erricker,London,Toys,879792508-E,M,$493.91,$17.11
Bjorn Crippell,London,Beauty,983738140-E,M,$698.83,$20.02
Natalie Large,London,Books,152976424-6,F,$433.04,$14.42
Nannette Rylatt,London,Electronics,004617158-4,M,$452.66,$15.86
Jodee Pattle,London,Beauty,480968513-6,M,$500.45,$22.26
Roseann Ledson,London,Movies,716742619-9,M,$440.08,$22.97
Zonda Ogus,London,Automotive,540973788-1,F,$693.74,$13.01
Etta Northbridge,London,Computers,891483163-9,M,$987.09,$12.10
Cinda Graeber,London,Beauty,509791592-5,F,$937.02,$13.01
Geralda Knowlman,London,Music,456273281-4,M,$488.18,$19.25
Wandie Bradder,London,Industrial,075382889-8,F,$537.51,$18.91
Gaby Pont,London,Music,667522786-6,F,$642.42,$14.47
Bronny Cossey,London,Grocery,127004949-6,M,$724.90,$18.01
Mignon Hazzard,London,Books,385305296-7,M,$803.32,$9.66
Florance Kippen,London,Shoes,396404548-9,F,$698.50,$10.41
Catharine Bonar,London,Automotive,822339259-E,M,$525.29,$9.07
Rhiamon Curdell,London,Garden,741620184-5,F,$745.85,$10.65
Madalena Wellman,London,Garden,756613773-5,F,$773.64,$14.82
Jermaine Ferreras,London,Garden,075362627-6,F,$482.36,$23.04
Konstance Moodie,London,Outdoors,374077425-8,F,$401.03,$17.68
Calla Sparrowhawk,London,Outdoors,298738120-4,F,$842.36,$15.98
Ibby Dulin,London,Automotive,541587622-7,F,$599.32,$24.45
Crichton Sharphurst,London,Clothing,711512344-6,M,$414.14,$23.35
Kimberlee Stoneham,London,Sports,800225172-5,F,$708.93,$24.53
Boot Alliker,London,Kids,455130114-0,M,$912.02,$16.11
Jacquenetta Tesimon,London,Outdoors,771600282-1,M,$574.52,$23.13
Bernice Daile,London,Toys,190166384-1,F,$756.15,$23.14
Jule Kennard,London,Automotive,156740178-E,F,$711.66,$11.31
Donelle Le Barr,London,Grocery,919136651-8,F,$833.35,$10.23
Clerkclaude Armour,London,Computers,099914049-E,M,$897.32,$13.12
Fidole Worham,London,Garden,175529356-9,F,$667.27,$22.68
Janel Westwood,London,Movies,252839246-E,M,$724.79,$14.95
Kelcie Nanetti,London,Outdoors,184439399-2,M,$929.50,$9.98
Cchaddie Alessandrucci,London,Toys,305112116-9,F,$596.97,$14.73
Arlee Kirkness,London,Shoes,060573401-1,M,$775.35,$10.37
Eadmund Darlasson,London,Shoes,761106190-9,F,$814.88,$13.30
Henrie Fasset,London,Beauty,906168290-8,F,$746.15,$8.77
Zackariah Guenther,London,Music,511712941-5,F,$794.14,$21.02
Alaric Charopen,London,Home,785485726-1,F,$961.56,$8.98
Lesya Mattke,London,Jewelry,834696919-8,F,$891.13,$18.83
Renault Halhead,London,Games,195995974-E,M,$492.38,$13.84
Anjela Haswall,London,Sports,363799646-4,F,$882.66,$22.30
Standford Ginman,London,Books,444453208-4,M,$916.17,$14.07
Allister Larrett,London,Computers,538094701-8,M,$646.74,$21.97
Luz Behning,London,Garden,954611783-8,F,$906.08,$18.03
Goldarina Bonass,London,Baby,043153609-0,M,$939.84,$15.32
Robbie Sebring,London,Kids,355219180-1,F,$819.63,$12.84
Cornelia Kainz,London,Garden,315766855-2,M,$467.15,$12.68
Wakefield Martinolli,London,Industrial,194236412-1,F,$957.76,$23.26
Ursula Brett,London,Books,343793515-1,M,$579.03,$18.09
Raye Rawlinson,London,Clothing,288829007-E,F,$610.08,$11.48
Morry Tansill,London,Tools,277157393-8,F,$461.34,$13.48
Theo Bacup,London,Automotive,295674470-4,F,$488.70,$20.89
Michele Windebank,London,Music,108536255-8,M,$477.50,$22.01
Patience Leele,London,Home,163159601-2,F,$561.87,$11.24
Dayna Truder,London,Kids,857938966-6,F,$973.54,$14.88
Stace Kerss,London,Outdoors,999583521-5,F,$954.26,$12.65
Marybeth Worledge,Berlin,Home,946203110-E,M,$703.70,$21.01
Art Hinstridge,Berlin,Beauty,747971643-5,F,$930.35,$16.29
Felice Folli,Berlin,Books,429446792-4,M,$875.42,$18.37
Regina Cluderay,Berlin,Movies,266019136-0,M,$646.94,$15.46
Hannah Gethyn,Berlin,Health,724584143-8,M,$580.73,$20.18
Noam Dauby,Berlin,Grocery,234262091-8,M,$992.86,$17.74
Aubry Panner,Berlin,Shoes,606946290-4,M,$723.08,$21.26
Devonne Spickett,Berlin,Home,182095961-9,M,$603.18,$10.61
Enrichetta Dymond,Berlin,Books,248528745-7,F,$831.51,$21.27
Hans Scandroot,Berlin,Garden,688184963-E,M,$675.78,$16.52
Gracia Tomaino,Berlin,Health,172934237-E,M,$982.91,$21.61
Randie Ponnsett,Berlin,Grocery,554298480-0,F,$928.72,$21.91
Lib Duffitt,Berlin,Toys,506078645-5,M,$718.98,$21.53
Ferrel McGiffie,Berlin,Movies,251933844-E,F,$900.99,$23.96
Renate Chatters,Berlin,Kids,054523407-7,M,$461.03,$17.83
Pace Kersey,Berlin,Industrial,714859273-9,M,$536.49,$11.10
Danielle Labbey,Berlin,Clothing,930257674-4,M,$725.83,$15.02
Si Schirach,Berlin,Home,319023807-E,M,$582.75,$24.70
Leicester MacKissack,Berlin,Health,298383150-7,F,$533.24,$15.45
Herschel Andreuzzi,Berlin,Music,769086140-7,M,$677.68,$18.34
Teri Aggs,Berlin,Jewelry,854393305-6,M,$596.93,$9.92
Karlee Covert,Berlin,Industrial,602581578-E,F,$560.61,$9.69
Petunia Childe,Berlin,Outdoors,811185853-1,F,$680.89,$15.18
Eleanore Jones,Berlin,Electronics,688728401-4,M,$972.72,$14.81
Julio McLucky,Berlin,Automotive,532319849-4,F,$484.05,$11.75
Darrell Spenley,Berlin,Games,021717145-1,M,$638.92,$8.76
Rich Flatte,Berlin,Outdoors,180844590-2,M,$519.29,$10.09
Maud Stickles,Berlin,Movies,628334231-0,M,$548.76,$22.16
Davita Tinwell,Berlin,Movies,675390105-1,M,$677.34,$14.14
Juliette Lukasen,Berlin,Electronics,203734241-1,F,$779.96,$15.01
Arabele Janda,Berlin,Movies,126566449-8,F,$923.50,$15.49
Helli Andryszczak,Berlin,Baby,714739231-0,F,$468.43,$10.27
Moyna Quartermain,Berlin,Garden,920459315-6,F,$934.14,$23.96
Raymund Gorvette,Berlin,Clothing,485045767-E,F,$929.36,$20.77
Molly Brackpool,Berlin,Industrial,035253192-4,M,$589.24,$18.48
Gretal Grimster,Berlin,Movies,626027370-E,F,$889.37,$15.59
Kerry Mapledoram,Berlin,Health,139532662-2,F,$477.97,$17.88
Rufus Nolder,Berlin,Jewelry,066259320-0,F,$643.06,$18.31
Adeline Duester,Berlin,Industrial,932217786-1,M,$857.94,$22.16
Harlie Seear,Berlin,Automotive,521257772-1,F,$999.46,$14.47
Jacinda Weir,Berlin,Health,981477058-2,F,$928.13,$18.18
Gibbie Strippling,Berlin,Sports,230550790-9,F,$922.18,$13.72
Marylou Pinar,Berlin,Outdoors,311013952-9,F,$905.62,$8.17
Myrna Tench,Berlin,Kids,380686615-5,F,$562.33,$23.34
Reynold Lisamore,Berlin,Automotive,184773924-5,F,$558.68,$15.04
Gibbie Bratcher,Berlin,Grocery,077908709-7,F,$972.67,$24.07
Ailey Sprey,Berlin,Beauty,500311484-2,F,$492.56,$11.39
Darell Duchesne,Berlin,Automotive,296396302-5,M,$735.42,$17.97
Ericha Agge,Berlin,Jewelry,816692642-E,F,$844.93,$24.20
Lilli Giacopelo,Berlin,Jewelry,047676011-9,F,$426.96,$22.89
Judah Crowne,Berlin,Toys,723649002-4,M,$530.51,$24.69
Fernando Tinson,Berlin,Baby,294913500-5,M,$446.18,$14.22
Koral Ashling,Berlin,Kids,520317249-8,M,$681.72,$14.08
Barrie Fillis,Berlin,Baby,032347918-9,F,$505.12,$13.27
Chrisse Cranton,Berlin,Electronics,452964521-5,M,$517.46,$21.88
Leta Cronshaw,Berlin,Toys,580632519-9,M,$533.11,$24.33
Gris Kellock,Berlin,Shoes,540247592-E,F,$850.31,$10.52
Shamus Stute,Berlin,Electronics,824463751-E,F,$753.67,$20.97
Kenon Abrahmovici,Berlin,Beauty,747257487-2,F,$540.86,$13.52
Harmonia Cowperthwaite,Berlin,Sports,327986564-6,M,$666.93,$22.05
Archibold Ninnoli,Berlin,Baby,849580970-2,F,$682.16,$12.55
Ezri Hulburd,Berlin,Toys,534948236-E,M,$550.91,$17.00
Lisa Spaven,Berlin,Computers,373387863-9,F,$648.33,$11.72
Torrie Delf,Berlin,Outdoors,358083366-9,F,$861.84,$18.05
Benoit Ruddiman,Berlin,Industrial,815738073-1,M,$514.57,$24.12
Karina Westwell,Berlin,Music,813928352-5,F,$581.83,$23.84
Lowe July,Berlin,Sports,738881771-9,M,$880.00,$23.42
Pamella Nelthorp,Berlin,Industrial,517764723-4,F,$860.66,$22.71
Barbabra Snelson,Berlin,Outdoors,393599490-7,M,$498.22,$12.47
Moe Keatch,Berlin,Garden,227461078-9,F,$415.79,$18.80
Barron Bottlestone,Berlin,Movies,597384608-E,M,$714.52,$17.12
Nester Meharry,Berlin,Outdoors,875512372-4,M,$533.56,$16.61
Costa Hovee,Berlin,Sports,449974584-5,M,$602.22,$11.87
Cathyleen Larenson,Berlin,Kids,223887424-0,F,$762.06,$9.89
Rikki Klaff,Berlin,Tools,415749065-7,F,$774.29,$14.91
Claus Gaw,Berlin,Grocery,387961997-2,F,$750.36,$24.76
June Slesser,Berlin,Kids,676412360-8,F,$583.68,$24.82
Bron Ulster,Berlin,Books,055175110-E,F,$947.99,$8.05
Elton Small,Berlin,Movies,479789618-E,F,$807.04,$23.18
Carolann Zimmermeister,Berlin,Tools,861039193-0,M,$700.23,$11.81
Ezri Hallybone,Berlin,Kids,480159184-1,M,$950.57,$22.75
Amity Ranscome,Berlin,Kids,990062592-7,F,$427.26,$20.03
Kirk Oliphant,Berlin,Grocery,031598393-0,F,$984.78,$16.72
Nikos O'Fallowne,Berlin,Home,982122771-6,M,$564.52,$16.17
Thayne Tibald,Berlin,Electronics,227406953-0,M,$866.61,$10.52
Andeee Challens,Berlin,Music,537311540-1,M,$990.90,$14.00
Zorine Crose,Berlin,Baby,497696479-5,F,$399.22,$13.01
Hube Akers,Berlin,Jewelry,584913137-E,M,$759.33,$13.46
Odie Monnery,Berlin,Clothing,855405948-4,M,$679.32,$20.40
Leontyne Field,Berlin,Health,657633999-2,M,$613.44,$14.54
Hilton Spaldin,Berlin,Shoes,044064759-2,M,$822.49,$24.88
Glen Phebey,Berlin,Grocery,605785117-E,M,$869.72,$17.03
Wilburt Mathy,Berlin,Jewelry,582748977-8,M,$508.22,$21.11
Zared Habbes,Berlin,Automotive,291723539-E,F,$576.40,$21.73
Marilyn Kording,Berlin,Kids,678182371-E,M,$809.80,$11.48
Mayor Gowanson,Berlin,Games,080975184-4,M,$882.84,$20.91
Francis Adamkiewicz,Berlin,Clothing,765230678-7,F,$853.25,$17.50
Hurleigh Mcall,Berlin,Movies,156541227-E,F,$944.35,$17.78
Carol-jean Ingarfill,Berlin,Baby,635505062-0,M,$933.20,$18.88
Rupert Braunton,Berlin,Home,456854817-9,F,$425.57,$13.09
Tedmund Botly,Berlin,Garden,986576183-1,M,$530.67,$20.13
Lory Stonestreet,Berlin,Grocery,540689811-6,M,$730.30,$14.81
Hortense Cawdell,Berlin,Shoes,962009767-E,M,$903.79,$16.76
Reese Bates,Berlin,Beauty,174574261-1,F,$530.74,$15.02
Edi McGaughay,Berlin,Home,616250155-8,F,$811.74,$20.37
Pavla Dimitrijevic,Berlin,Toys,630252634-5,F,$848.99,$11.23
Adamo Farington,Berlin,Clothing,327277605-2,M,$850.59,$16.36
Venita Gaddas,Berlin,Shoes,545716610-4,M,$932.24,$19.47
Melonie Aylett,Berlin,Tools,652394461-1,F,$893.82,$19.41
Floria Lurner,Berlin,Automotive,824539209-E,M,$704.23,$18.36
Siobhan Devenish,Berlin,Games,660024217-5,M,$435.84,$13.96
Wallis Weatherhill,Berlin,Movies,297655260-6,M,$833.78,$8.47
Janetta Radki,Berlin,Baby,767966244-4,F,$635.53,$11.61
Vicky Gyse,Berlin,Baby,970108337-7,M,$411.25,$9.18
Joanne Mathivon,Berlin,Industrial,003297658-5,M,$752.14,$17.85
Mano Needham,Berlin,Automotive,860806100-7,F,$901.54,$8.64
Rodolph de Clerk,Berlin,Baby,813723402-0,F,$722.72,$13.24
Lilla Markham,Berlin,Health,906973826-0,M,$464.31,$21.16
Zabrina Finey,Berlin,Shoes,660875064-1,M,$859.99,$22.98
Walker Malicki,Berlin,Beauty,109688537-9,F,$747.87,$8.19
Rosita Fairtlough,Berlin,Kids,330424164-7,M,$475.25,$13.27
Reina Boodle,Berlin,Garden,615793458-1,F,$667.44,$14.84
Benedicta Tommaseo,Los Angeles,Movies,708466520-E,F,$895.01,$17.22
Dewey Kerin,Los Angeles,Garden,143910670-E,M,$946.60,$16.85
Wash Boays,Los Angeles,Kids,912147352-8,F,$748.68,$19.19
Addy Tomkinson,Los Angeles,Outdoors,044139991-6,M,$526.29,$15.92
Hyacinth Thorrington,Los Angeles,Tools,262115528-6,F,$858.92,$22.07
Garvey Crump,Los Angeles,Clothing,737457018-E,F,$574.53,$9.94
Kathe Lackey,Los Angeles,Industrial,782455336-1,M,$594.51,$20.27
Alyda Crips,Los Angeles,Sports,894136051-E,M,$484.67,$13.13
Rosalyn Bannister,Los Angeles,Outdoors,208217515-4,M,$675.14,$21.30
Dal Davion,Los Angeles,Shoes,032111891-E,M,$932.23,$15.67
Prescott Coatts,Los Angeles,Automotive,883818072-5,F,$951.45,$24.16
Magdalene Antoney,Los Angeles,Sports,494625106-5,M,$546.58,$16.01
DiEie Bradtke,Los Angeles,Computers,506480681-7,F,$521.09,$10.92
Otto Lodeke,Los Angeles,Health,641973077-5,M,$519.56,$12.83
Bourke Roast,Los Angeles,Computers,720256178-6,M,$557.65,$14.73
Eachelle Gonsalo,Los Angeles,Garden,624092486-5,F,$632.00,$8.57
SiouE Stratten,Los Angeles,Jewelry,641837598-E,M,$968.50,$16.36
Kaitlynn Creser,Los Angeles,Tools,745502065-1,M,$995.49,$20.70
Armstrong Strangward,Los Angeles,Industrial,558541925-0,M,$848.17,$21.43
Lyndy Maudlen,Los Angeles,Sports,364260764-0,F,$964.76,$24.59
Gene Wasielewicz,Los Angeles,Kids,977452916-2,F,$961.06,$16.45
Dani Colquitt,Los Angeles,Industrial,262943970-4,M,$978.97,$16.23
Bili Dowtry,Los Angeles,Beauty,311302357-2,F,$561.79,$9.13
Cyrille Binge,San Francisco,Garden,421621825-E,F,$842.53,$17.19
Verla Klimczak,San Francisco,Clothing,844110814-5,M,$869.66,$24.43
Bryon Romagnosi,San Francisco,Music,164353886-1,M,$417.63,$16.71
Bear Brezlaw,San Francisco,Outdoors,829877102-8,F,$855.90,$14.72
Ranique Runsey,San Francisco,Electronics,479794301-7,F,$839.66,$10.05
Kayla Scammonden,San Francisco,Sports,295613996-7,F,$472.79,$13.81
Danyelle Felton,San Francisco,Clothing,397154026-0,F,$440.36,$17.77
Dominica Feaveer,San Francisco,Industrial,164166196-8,M,$644.65,$23.01
Royce Loosley,San Francisco,Baby,221258410-5,F,$818.01,$17.11
Antonie Tanfield,San Francisco,Movies,991175703-E,M,$451.29,$23.22
Tony Lush,San Francisco,Electronics,040794102-9,M,$519.38,$19.62
Genevra Stourton,San Francisco,Toys,720139643-9,F,$881.57,$8.75
Debby Lockton,San Francisco,Beauty,361028393-9,M,$478.74,$24.33
Gloria Yeend,San Francisco,Music,780241524-1,M,$739.35,$23.01
Stefano Manzell,San Francisco,Automotive,643726428-4,M,$477.06,$8.77
Hobard Northcott,San Francisco,Clothing,511796478-0,M,$660.02,$20.53
Patricia Synan,San Francisco,Beauty,865541964-8,M,$618.35,$14.12
Jorge Cotton,San Francisco,Health,937910691-2,M,$781.46,$8.33
Florette Garham,New York,Sports,968883207-E,M,$467.17,$20.43
Nichol Sunners,New York,Movies,477273501-1,M,$852.91,$9.52
Latisha Stagge,New York,Grocery,894319483-8,F,$882.21,$24.69
Nathanil Conaghy,New York,Outdoors,859382209-6,F,$792.96,$10.05
Geoffry Sangwine,New York,Clothing,196591498-5,F,$826.85,$24.40
Bruno Sonnenschein,New York,Home,190024947-2,F,$948.78,$19.64
Denice Grevatt,New York,Jewelry,344405360-6,M,$450.16,$17.75
Kitty Gaitone,New York,Games,934109295-7,M,$687.87,$10.61
